Item_ID,EquipSlot,DamageType,HealthBonus,PrimaryStatValue,SecondaryStatValue,BaseOptionStatType,BaseOptionValue
armor_head_test,Head,Magic,30,8,4,,0
armor_chest_test,Chest,Magic,60,12,6,,0
armor_legs_test,Legs,Magic,40,10,5,,0
armor_boots_test,Boots,Magic,20,6,3,,0
acc_earring_test,Earring,Magic,0,0,0,Intelligence,8
acc_ring_test,Ring,Magic,0,0,0,Intelligence,6
acc_necklace_test,Necklace,Magic,0,0,0,Intelligence,10
acc_belt_test,Belt,Magic,0,0,0,Intelligence,5
acc_bracelet_test,Bracelet,Magic,0,0,0,Intelligence,5
acc_hairpin_test,Hairpin,Magic,0,0,0,Intelligence,7
