Mem_ID,MemName,Tier,Personality,MaxHp,MaxHunger,Consumption,Crafting,Logging,Mining,Transport,Farming,ExplorationStat,AttackDamage,AttackRange,AttackCooldown,DetectionRange,FleeHpThreshold,AllowedZoneIds,CanSpawnDay,CanSpawnNight,SpawnWeight,AccessoryIds
Mem_Rare_01,온순한 멤,Rare,Docile,10,14,2,1,0,0,0,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,10,
Mem_Rare_01_A,난폭한 멤,Rare,Aggressive,10,8,1,1,0,0,1,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,8,
Mem_Rare_01_N,평범한 멤,Rare,Normal,10,10,1,1,0,0,0,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,10,
Mem_Rare_02,온순한 멤로,Rare,Docile,10,14,2,0,1,0,0,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,10,
Mem_Rare_02_A,난폭한 멤로,Rare,Aggressive,10,8,1,0,1,0,0,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,8,
Mem_Rare_02_N,평범한 멤로,Rare,Normal,10,10,1,0,1,0,1,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,10,
Mem_Rare_03,온순한 멤핑,Rare,Docile,10,14,2,0,0,1,0,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,10,
Mem_Rare_03_A,난폭한 멤핑,Rare,Aggressive,10,8,1,0,0,1,0,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,8,
Mem_Rare_03_N,평범한 멤핑,Rare,Normal,10,10,1,0,0,1,0,0,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,10,
Mem_Rare_04,온순한 멤플,Rare,Docile,10,14,2,0,0,0,1,1,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,10,
Mem_Rare_04_A,난폭한 멤플,Rare,Aggressive,10,8,1,0,0,0,0,1,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,8,
Mem_Rare_04_N,평범한 멤플,Rare,Normal,10,10,1,0,0,0,0,1,0,5,0.5,1.5,10,0.3,,TRUE,TRUE,10,
Mem_Rare_05,온순한 멤린,Rare,Docile,15,20,2,1,0,0,0,1,0,5,0.5,1.5,10,0.3,,TRUE,FALSE,5,
Mem_Rare_05_A,난폭한 멤린,Rare,Aggressive,15,10,1,0,0,1,1,0,0,5,0.5,1.5,10,0.3,,TRUE,FALSE,3,
Mem_Rare_05_N,평범한 멤린,Rare,Normal,15,15,1,0,0,0,1,1,0,5,0.5,1.5,10,0.3,,TRUE,FALSE,5,
Mem_Rare_06,온순한 멤루,Rare,Docile,15,20,2,0,1,1,0,0,0,5,0.5,1.5,10,0.3,,FALSE,TRUE,5,
Mem_Rare_06_A,난폭한 멤루,Rare,Aggressive,15,10,1,0,1,0,1,0,0,5,0.5,1.5,10,0.3,,FALSE,TRUE,3,
Mem_Rare_06_N,평범한 멤루,Rare,Normal,15,15,1,1,0,0,1,0,0,5,0.5,1.5,10,0.3,,FALSE,TRUE,5,
Mem_Epic_01,온순한 멤오,Epic,Docile,25,50,3,2,0,0,0,1,0,10,0.5,1.5,10,0.3,,TRUE,FALSE,2,
Mem_Epic_01_A,난폭한 멤오,Epic,Aggressive,25,40,2,0,2,1,0,0,0,10,0.5,1.5,10,0.3,,TRUE,FALSE,1,
Mem_Epic_01_N,평범한 멤오,Epic,Normal,25,40,2,0,1,2,0,0,0,10,0.5,1.5,10,0.3,,TRUE,FALSE,2,
Mem_Epic_02,온순한 멤이,Epic,Docile,25,40,2,0,0,0,2,1,0,10,0.5,1.5,10,0.3,,FALSE,TRUE,2,
Mem_Epic_02_A,난폭한 멤이,Epic,Aggressive,25,40,2,0,0,0,1,2,0,10,0.5,1.5,10,0.3,,FALSE,TRUE,1,
Mem_Epic_02_N,평범한 멤이,Epic,Normal,25,60,3,2,0,0,0,1,0,10,0.5,1.5,10,0.3,,FALSE,TRUE,2,
Mem_Epic_03,블랙 멤,Epic,Normal,30,60,2,0,2,0,1,0,0,15,0.5,2,10,0.3,,TRUE,TRUE,1,
Mem_Epic_04,레인보우 멤,Unique,Aggressive,30,60,1,3,2,2,0,0,0,30,1,2,4,0.3,,TRUE,TRUE,0.1,
Mem_Rare_01_Acorn,온순한 도토리 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_acorn
Mem_Rare_01_Apple,온순한 사과 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_apple
Mem_Rare_01_Daisy,온순한 데이지 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_daisy
Mem_Rare_01_Ladybug,온순한 무당벌레 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_ladybug
Mem_Rare_01_Leaf,온순한 이파리 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_leaf
Mem_Rare_01_Pinecone,온순한 솔방울 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_pinecone
Mem_Rare_01_Shell,온순한 조가비 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_pinkshell
Mem_Rare_01_Strawhat,온순한 밀짚모자 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_strawhat
Mem_Rare_01_Sunflower,온순한 해바라기 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_sunflower
Mem_Rare_01_Windmill,온순한 바람개비 멤,Rare,Docile,10,10,1,1,0,1,0,0,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_windmill
Mem_Rare_02_Bee,온순한 꿀벌 멤로,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_bee
Mem_Rare_02_Pouch,온순한 씨앗주머니 멤로,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_pouch
Mem_Rare_03_Butterfly,온순한 나비 멤핑,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_butterfly
Mem_Rare_04_Crystalblue,온순한 크리스탈 멤플,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_crystalblue
Mem_Rare_05_Branch,온순한 나뭇가지 멤린,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_branch
Mem_Rare_05_Clover,온순한 네잎클로버 멤린,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_fourclover
Mem_Rare_06_Starfish,온순한 불가사리 멤루,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,acc_head_starfish
Mem_Rare_07,온순한 멤이,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,
Mem_Rare_07_A,난폭한 멤이,Rare,Aggressive,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,
Mem_Rare_07_N,평범한 멤이,Rare,Normal,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,
Mem_Rare_08,온순한 멤오,Rare,Docile,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,
Mem_Rare_08_A,난폭한 멤오,Rare,Aggressive,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,
Mem_Rare_08_N,평범한 멤오,Rare,Normal,10,10,1,2,2,2,2,2,0,1,0.5,1.5,10,0.3,,TRUE,TRUE,1,
Mem_Unique_01,레인보우 멤,Unique,Aggressive,50,50,1,0,0,3,2,2,0,1,0.5,2,4,0.3,,TRUE,TRUE,1,
