Recipe_Item_ID	Time	Materials
blueprint_production_stand	60	item_irongemstone:10;item_wood:10;item_baseblueprint:1
tool_shabby_axe	60	item_irongemstone:5;item_wood:5
tool_shabby_hoe	60	item_irongemstone:5;item_wood:5
tool_shabby_pickax	60	item_irongemstone:5;item_wood:5
tool_shabby_club	60	item_wood:10
item_iron	10	item_irongemstone:5
item_woodplank	10	item_wood:5
tool_shabby_capsule	30	item_wood:5;item_irongemstone:5
blueprint_berry_farm	60	item_berryseed:30;item_baseblueprint:1
blueprint_iron_ore_quarry	60	item_irongemstone:30;item_baseblueprint:1
blueprint_logging_farm	60	item_wood:30;item_baseblueprint:1
item_processed_plank	30	item_woodplank:1;item_irongemstone:5
blueprint_diamond_quarry	300	item_baseblueprint:1;item_diamond:30
blueprint_campfire	300	item_baseblueprint:1;item_woodplank:10;item_wood:50
blueprint_livestock_farm	300	item_baseblueprint:1;item_woodplank:20
item_processed_diamond	30	item_diamond:5
item_plated_plank	60	item_processed_plank:1;item_processed_diamond:5
blueprint_amber_quarry	600	item_baseblueprint:1;item_raw_amber:30
blueprint_birch_logging_farm	600	item_baseblueprint:1;item_birchwood:30
blueprint_wheat_farm	600	blueprint_berry_farm:1;item_whaetseed:30
tool_club	60	item_diamond:10
item_birchwoodplank	30	item_birchwood:5
item_processed_white_plank	60	item_birchwoodplank:1;item_diamond:5
item_amber	30	item_raw_amber:5
item_temperedstone_dawn	5	item_wood:100;item_irongemstone:100;item_berry:50
item_abrasive_stone_dawn	5	item_wood:20;item_irongemstone:20
blueprint_kitchen	1200	item_intermediate_blueprint:1;item_processed_diamond:50;item_processed_white_plank:20
blueprint_transport_facility	1200	item_intermediate_blueprint:1;item_processed_white_plank:20
blueprint_generator	1200	item_intermediate_blueprint:1;item_amber:20;item_birchwoodplank:20
item_plated_white_plank	100	item_processed_white_plank:1;item_amber:5
tool_decent_capsule	60	item_birchwood:5;item_raw_amber:5
tool_decent_club	60	item_amber:10
