Item_ID,RequestTerritoryLevel,RequestGold,MaterialCosts,RewardExp
blueprint_production_stand,1,0,,100
tool_shabby_club,1,500,,100
tool_shabby_capsule,1,1000,,200
tool_shabby_axe,2,500,,150
tool_shabby_hoe,2,500,,150
tool_shabby_pickax,2,500,,150
item_iron,3,1500,,300
item_woodplank,3,1500,,300
blueprint_logging_farm,4,2000,,400
blueprint_iron_ore_quarry,4,2000,,400
blueprint_berry_farm,4,2000,,400
blueprint_diamond_quarry,5,3500,,700
tool_club,5,2500,,600
item_processed_plank,6,8000,,1000
item_processed_diamond,6,9000,,1100
item_plated_plank,7,12000,,1600
blueprint_campfire,8,15000,,2000
blueprint_livestock_farm,8,15000,,2000
item_processed_roughfur,9,5000,,1500
item_temperedstone_dawn,10,17000,,2400
item_abrasive_stone,10,17000,,2400
tool_decent_capsule,11,20000,,2500
tool_decent_club,11,20000,,2500
blueprint_amber_quarry,12,40000,,4000
blueprint_emerald_quarry,12,40000,,4000
blueprint_birch_logging_farm,13,40000,,4000
blueprint_wheat_farm,13,40000,,4000
item_birchwoodplank,15,50000,,4500
item_emerald,15,50000,,4500
item_processed_white_plank,16,70000,,6000
item_amber,16,60000,,5500
item_plated_white_plank,18,90000,,7000
blueprint_kitchen,18,150000,,10000
blueprint_transport_facility,20,150000,,12000
blueprint_generator,20,150000,,12000
