Item_ID	RequestTerritoryLevel	RequestGold	MaterialCosts	RewardExp
blueprint_production_stand	1	0		0
tool_shabby_axe	1	100		100
tool_shabby_hoe	1	100		100
tool_shabby_pickax	1	100		100
tool_shabby_club	1	100		100
tool_shabby_capsule	2	1000		100
item_iron	2	1000		100
item_woodplank	2	1000		100
blueprint_logging_farm	3	5000		200
blueprint_iron_ore_quarry	3	5000		200
blueprint_berry_farm	3	5000		200
item_processed_plank	3	5000		200
blueprint_diamond_quarry	4	10000		500
blueprint_campfire	4	10000		500
blueprint_livestock_farm	4	10000		500
item_processed_diamond	4	10000		500
item_plated_plank	4	10000		500
blueprint_amber_quarry	5	50000		1000
blueprint_birch_logging_farm	5	50000		1000
blueprint_wheat_farm	5	50000		1000
tool_club	5	50000		1000
item_birchwoodplank	6	50000		1000
item_processed_white_plank	6	50000		1000
item_amber	6	50000		1000
item_temperedstone_dawn	7	100000		10000
item_abrasive_stone_dawn	7	100000		10000
blueprint_kitchen	8	50000		2000
blueprint_transport_facility	8	50000		2000
blueprint_generator	8	50000		2000
item_plated_white_plank	9	100000		5000
tool_decent_capsule	9	100000		5000
tool_decent_club	10	500000		10000
