# 연마 옵션 데이터 (RefinementConfig의 optionDataCsv에 연결)
# 컬럼(탭 구분): 등급	종류	수치	확률
# - 등급: Rare / Epic / Unique / Legendary / Myth (CommonClass와 동일, 대소문자 무관)
# - 종류: 옵션 종류 문자열 키 (실제 스탯 적용 로직은 추후 진행 - 지금은 값만 보관)
# - 수치: 이 종류+등급 조합에서 나올 수 있는 고정 수치 (범위 아님, 값 종류마다 별도 행)
# - 확률: 같은 등급 내에서 이 (종류,수치) 조합이 뽑힐 가중치 (등급 내 상대값)
등급	종류	수치	확률
Rare	DamageIncrease	1	50
Rare	DamageIncrease	2	30
Rare	DamageIncrease	3	20
Rare	GatherIncrease	1	50
Rare	GatherIncrease	2	30
Rare	GatherIncrease	3	20
Epic	DamageIncrease	2	50
Epic	DamageIncrease	3	30
Epic	DamageIncrease	4	20
Epic	GatherIncrease	2	50
Epic	GatherIncrease	3	30
Epic	GatherIncrease	4	20
Unique	DamageIncrease	4	50
Unique	DamageIncrease	5	30
Unique	DamageIncrease	6	20
Unique	GatherIncrease	4	50
Unique	GatherIncrease	5	30
Unique	GatherIncrease	6	20
Legendary	DamageIncrease	6	50
Legendary	DamageIncrease	7	30
Legendary	DamageIncrease	8	20
Legendary	GatherIncrease	6	50
Legendary	GatherIncrease	7	30
Legendary	GatherIncrease	8	20
Myth	DamageIncrease	9	50
Myth	DamageIncrease	10	30
Myth	DamageIncrease	12	20
Myth	GatherIncrease	9	50
Myth	GatherIncrease	10	30
Myth	GatherIncrease	12	20
