Item_ID,Selling_Price,Selling_MaxAmount,Purchase_Price_Golds,Purchase_Material_ID,Purchase_Material_Amount,Purchase_MaxAmount
item_salt,0,0,100,,0,100
item_sugar,0,0,100,,0,100
item_black_pepper,0,0,100,,0,100
item_butter,0,0,100,,0,100
item_berry,40,1000,100,,0,999999
item_rough_fur,500,1000,0,,0,0
item_cabbage,1000,1000,0,,0,0
item_wheat,100,1000,500,,0,999999
item_berry_juice,500,1000,0,,0,0
item_berry_preserve,500,1000,0,,0,0
item_tomato,1000,1000,0,,0,0
item_sandwich,2500,1000,0,,0,0
item_baguette,1000,1000,0,,0,0
item_oatmeal,1000,1000,0,,0,0
item_baseblueprint,0,0,5000,,0,999999
item_intermediate_blueprint,0,0,100000,,0,999999
item_irongemstone,40,1000,0,,0,0
item_wood,40,1000,0,,0,0
item_iron,250,1000,0,,0,0
item_woodplank,250,1000,0,,0,0
item_diamond,100,1000,0,,,0
item_processed_diamond,625,1000,0,,,0
item_processed_plank,560,1000,0,,,0
item_plated_plank,5350,500,0,,0,0
item_birchwood,200,1000,0,,,0
item_raw_amber,250,1000,0,,,0
item_emerald,700,1000,0,,,0
item_amber,500,1000,0,,,0
item_raw_emerald,500,1000,0,,,0
item_birchwoodplank,1000,1000,0,,,0
item_processed_white_plank,2500,1000,0,,,0
item_plated_white_plank,10000,500,0,,0,0
cook_recipebook,,,10000,,,999999
item_processed_roughfur,2000,1000,0,,0,0
