Item_ID	Selling_Price	Selling_MaxAmount	Purchase_Price_Golds	Purchase_Material_ID	Purchase_Material_Amount	Purchase_MaxAmount
item_berry	20	1000	100		0	999999
item_salt	0	0	100		0	100
item_sugar	0	0	100		0	100
item_wheat	100	1000	500		0	999999
item_cabbage	1000	1000	0		0	0
item_rough_fur	500	1000	0		0	0
item_sandwich	2500	1000	0		0	0
item_baguette	1000	1000	0		0	0
item_berry_juice	500	1000	0		0	0
item_berry_preserve	500	1000	0		0	0
item_oatmeal	1000	1000	0		0	0
item_baseblueprint	0	0	10000		0	999999
item_iron	100	1000	0		0	0
item_irongemstone	20	1000	0		0	0
item_wood	20	1000	0		0	0
item_woodplank	100	1000	0		0	0
item_plated_plank	5000	500	0		0	0
item_plated_white_plank	10000	500	0		0	0
item_amber	500	1000	0			0
item_birchwood	200	1000	0			0
item_birchwoodplank	1000	1000	0			0
item_diamond	100	1000	0			0
item_processed_diamond	250	1000	0			0
item_processed_plank	1200	1000	0			0
item_processed_white_plank	2500	1000	0			0
item_raw_amber	250	1000	0			0
item_intermediate_blueprint	0	0	100000		0	999999
