Item_ID	ItemName	Value	MaxStack	Category	UseAction	ObjectType	ItemClass	EatEffects
item_wood	나무 원목	1	100	Material	Default	None	Rare	
item_irongemstone	철 원석	1	100	Material	Default	None	Rare	
item_berry	달콤한 열매	1	50	Food	Eat	None	Rare	Satiety:10
item_berryseed	달콤한 열매 씨앗	1	100	Material	Default	None	Rare	
item_woodplank	나무 판자	1	100	Material	Default	None	Rare	
item_iron	철 주괴	1	100	Material	Default	None	Rare	
blueprint_berry_farm	달콤한 열매 밭	1	10	BluePrint	Default	None	Epic	
blueprint_iron_ore_quarry	철 채석장 설계도	1	10	BluePrint	Default	None	Epic	
blueprint_logging_farm	나무 벌목장 설계도	1	10	BluePrint	Default	None	Epic	
blueprint_production_stand	제작대 설계도	1	10	BluePrint	Default	None	Epic	
item_baseblueprint	기초 토대	1	10	Material	Default	None	Epic	
item_salt	소금	1	100	Material	Default	None	Rare	
item_sugar	설탕	1	100	Material	Default	None	Rare	
item_sandwich	샌드위치	1	50	Food	Eat	None	Rare	Satiety:30
tool_shabby_axe	허름한 도끼	1	1	Tool	Use	Tree	Rare	
tool_shabby_club	허름한 몽둥이	1	1	Tool	Use	None	Rare	
tool_shabby_hoe	허름한 괭이	1	1	Tool	Use	Bush	Rare	
tool_shabby_pickax	허름한 곡괭이	1	1	Tool	Use	Stone	Rare	
tool_shabby_capsule	허름한 캡슐	1	10	Capsule	Use	None	Rare	
item_abrasive_stone	연마석	1	100	Material	Default	None	Unique	
item_temperedstone_dawn	여명의 강화석	1	100	Material	Default	None	Unique	
tool_axe	도끼	1	1	Tool	Use	Tree	Rare	
item_diamond	다이아몬드	1	100	Material	Default	None	Rare	
